Î»/L	Heave
16.557051	1.003991
9.822667	1.007247
6.647498	1.010852
4.875977	1.014685
3.775391	1.019761
3.250191	1.025286
2.838396	1.034408
2.508556	1.050127
2.239563	1.077928
2.016791	1.126546
1.829829	1.210938
1.671091	1.348549
1.534933	1.552006
1.417082	1.79015
1.31425	1.945783
1.223871	1.83002
1.143916	1.391477
1.072762	0.883206
1.009097	0.505738
0.951852	0.268239
0.900145	0.128944
0.853246	0.061738
0.810543	0.058192
0.771522	0.07357
0.735746	0.083381
0.702846	0.08624
0.672501	0.083899
0.644438	0.078052
0.61842	        0.070012
0.594241	0.060764
0.57172	        0.051037
0.550699	0.041374
0.531039	0.032185
0.437894	0.008682
0.370809	0.012614
0.320448	0.004515
0.281402	0.001717
0.250335	0.001874
0.225086	0.000243
0.204201	0.000606
0.186664	0.000236
